Al-O(H)-Al, 40
Ba-O(H)-Ba, 17
Ba-O(H)-Zn, 1
Ca-O(H)-Ca, 3
Cd-O(H)-Cd, 19
Cd-O(H)-K, 1
Ce-O(H)-Ce, 5
Ce-O(H)-Zr, 1
Co-O(H)-Co, 114
Cr-O(H)-Cr, 5
Cu-O(H)-Ba, 1
Cu-O(H)-Ca, 1
Cu-O(H)-Cu, 68
Dy-O(H)-Cs, 1
Dy-O(H)-Dy, 2
Er-O(H)-Er, 3
Eu-O(H)-Cs, 1
Eu-O(H)-Eu, 6
Eu-O(H)-Sr, 1
Fe-O(H)-Fe, 10
Ga-O(H)-Ga, 18
Gd-O(H)-Gd, 5
Hf-O(H)-Hf, 2
Ho-O(H)-Ho, 1
In-O(H)-In, 25
K-O(H)-Co, 1
K-O(H)-K, 4
K-O(H)-Mn, 1
La-O(H)-La, 3
Li-O(H)-Li, 2
Mg-O(H)-Mg, 16
Mn-O(H)-Mn, 14
Mo-O(H)-Mo, 2
Mo-O(H)-Rb, 1
Na-O(H)-Cu, 1
Na-O(H)-Na, 10
Na-O(H)-Zn, 1
Nd-O(H)-Nd, 4
Ni-O(H)-Ni, 42
Pr-O(H)-Pr, 2
Rb-O(H)-Rb, 1
Sc-O(H)-Sc, 3
Sm-O(H)-Cs, 1
Sm-O(H)-Sm, 3
Sr-O(H)-Gd, 1
Sr-O(H)-Sr, 14
Tb-O(H)-Cs, 1
Tb-O(H)-Tb, 6
Ti-O(H)-Ti, 1
U-O(H)-U, 5
V-O(H)-V, 24
Yb-O(H)-Cs, 1
Yb-O(H)-Yb, 1
Zn-O(H)-Co, 1
Zn-O(H)-Zn, 91
Zr-O(H)-Zr, 32
