sbu name, number of mofs built from it
auxiliary_0, 129
auxiliary_1, 38
auxiliary_2, 30
auxiliary_3, 96
auxiliary_4, 47
auxiliary_5, 15
auxiliary_6, 1
auxiliary_7, 120
auxiliary_8, 14
auxiliary_9, 2
auxiliary_10, 3
auxiliary_11, 81
auxiliary_12, 1
auxiliary_13, 140
auxiliary_14, 142
auxiliary_15, 6
auxiliary_16, 1
auxiliary_17, 34
auxiliary_18, 1
auxiliary_19, 1
auxiliary_20, 13
auxiliary_21, 1
auxiliary_22, 6
auxiliary_23, 10
auxiliary_24, 1
auxiliary_25, 4
auxiliary_26, 28
auxiliary_27, 3
auxiliary_28, 6
auxiliary_29, 1
auxiliary_30, 1
auxiliary_31, 1
auxiliary_32, 6
auxiliary_33, 1
auxiliary_34, 1
auxiliary_35, 1
auxiliary_36, 1
auxiliary_37, 58
auxiliary_38, 1
auxiliary_39, 5
auxiliary_40, 4
auxiliary_41, 3
auxiliary_42, 8
auxiliary_43, 1
auxiliary_44, 1
auxiliary_45, 1
auxiliary_46, 3
auxiliary_47, 1
auxiliary_48, 1
auxiliary_49, 1
auxiliary_50, 9
auxiliary_51, 10
auxiliary_52, 8
auxiliary_53, 14
auxiliary_54, 1
auxiliary_55, 1
auxiliary_56, 29
auxiliary_57, 1
auxiliary_58, 1
auxiliary_59, 4
auxiliary_60, 5
auxiliary_61, 4
auxiliary_62, 1
auxiliary_63, 2
auxiliary_64, 13
auxiliary_65, 2
auxiliary_66, 1
auxiliary_67, 1
auxiliary_68, 1
auxiliary_69, 14
auxiliary_70, 6
auxiliary_71, 15
auxiliary_72, 1
auxiliary_73, 2
auxiliary_74, 1
auxiliary_75, 1
auxiliary_76, 1
auxiliary_77, 1
auxiliary_78, 5
auxiliary_79, 1
auxiliary_80, 10
auxiliary_81, 5
auxiliary_82, 4
auxiliary_83, 1
auxiliary_84, 4
auxiliary_85, 28
auxiliary_86, 7
auxiliary_87, 2
auxiliary_88, 1
auxiliary_89, 5
auxiliary_90, 2
auxiliary_91, 1
auxiliary_92, 8
auxiliary_93, 1
auxiliary_94, 4
auxiliary_95, 2
auxiliary_96, 21
auxiliary_97, 1
auxiliary_98, 1
auxiliary_99, 1
auxiliary_100, 1
auxiliary_101, 1
auxiliary_102, 1
auxiliary_103, 9
auxiliary_104, 1
auxiliary_105, 1
auxiliary_106, 4
auxiliary_107, 2
auxiliary_108, 2
auxiliary_109, 6
auxiliary_110, 1
auxiliary_111, 10
auxiliary_112, 1
auxiliary_113, 1
auxiliary_114, 3
auxiliary_115, 1
auxiliary_116, 1
auxiliary_117, 1
auxiliary_118, 1
auxiliary_119, 1
auxiliary_120, 1
auxiliary_121, 1
auxiliary_122, 1
auxiliary_123, 1
auxiliary_124, 1
auxiliary_125, 1
auxiliary_126, 1
auxiliary_127, 1
auxiliary_128, 1
auxiliary_129, 1
auxiliary_130, 1
auxiliary_131, 2
auxiliary_132, 2
auxiliary_133, 3
auxiliary_134, 1
auxiliary_135, 1
auxiliary_136, 1
auxiliary_137, 2
auxiliary_138, 1
auxiliary_139, 3
auxiliary_140, 1
auxiliary_141, 3
auxiliary_142, 2
auxiliary_143, 1
auxiliary_144, 2
auxiliary_145, 1
auxiliary_146, 1
auxiliary_147, 1
auxiliary_148, 1
auxiliary_149, 1
auxiliary_150, 2
auxiliary_151, 1
auxiliary_152, 7
auxiliary_153, 1
auxiliary_154, 1
auxiliary_155, 4
auxiliary_156, 1
auxiliary_157, 1
auxiliary_158, 1
auxiliary_159, 1
auxiliary_160, 2
auxiliary_161, 1
auxiliary_162, 1
auxiliary_163, 1
auxiliary_164, 1
auxiliary_165, 1
auxiliary_166, 1
auxiliary_167, 2
auxiliary_168, 1
auxiliary_169, 1
auxiliary_170, 1
auxiliary_171, 1
auxiliary_172, 4
auxiliary_173, 1
auxiliary_174, 2
auxiliary_175, 1
auxiliary_176, 1
auxiliary_177, 1
auxiliary_178, 1
auxiliary_179, 1
auxiliary_180, 2
auxiliary_181, 1
auxiliary_182, 1
auxiliary_183, 1
auxiliary_184, 1
auxiliary_185, 1
auxiliary_186, 1
auxiliary_187, 1
auxiliary_188, 1
auxiliary_189, 3
auxiliary_190, 1
auxiliary_191, 1
auxiliary_192, 1
auxiliary_193, 1
auxiliary_194, 1
auxiliary_195, 3
auxiliary_196, 1
auxiliary_197, 1
auxiliary_198, 1
auxiliary_199, 1
auxiliary_200, 1
auxiliary_201, 1
auxiliary_202, 1
auxiliary_203, 1
auxiliary_204, 1
auxiliary_205, 25
auxiliary_206, 1
auxiliary_207, 5
auxiliary_208, 1
auxiliary_209, 1
auxiliary_210, 2
auxiliary_211, 1
auxiliary_212, 2
auxiliary_213, 1
auxiliary_214, 1
auxiliary_215, 2
auxiliary_216, 2
auxiliary_217, 1
auxiliary_218, 1
auxiliary_219, 1
auxiliary_220, 4
auxiliary_221, 3
auxiliary_222, 1
auxiliary_223, 1
auxiliary_224, 1
auxiliary_225, 2
auxiliary_226, 1
auxiliary_227, 1
auxiliary_228, 5
auxiliary_229, 2
auxiliary_230, 1
auxiliary_231, 1
auxiliary_232, 1
auxiliary_233, 1
auxiliary_234, 1
auxiliary_235, 1
auxiliary_236, 1
auxiliary_237, 1
auxiliary_238, 1
auxiliary_239, 1
auxiliary_240, 1
auxiliary_241, 1
auxiliary_242, 1
auxiliary_243, 1
auxiliary_244, 1
auxiliary_245, 2
auxiliary_246, 1
auxiliary_247, 1
auxiliary_248, 1
auxiliary_249, 1
auxiliary_250, 1
auxiliary_251, 1
auxiliary_252, 1
auxiliary_253, 1
auxiliary_254, 1
auxiliary_255, 1
auxiliary_256, 1
auxiliary_257, 1
auxiliary_258, 1
auxiliary_259, 1
auxiliary_260, 1
auxiliary_261, 1
auxiliary_262, 1
auxiliary_263, 1
auxiliary_264, 1
auxiliary_265, 1
auxiliary_266, 1
auxiliary_267, 1
auxiliary_268, 1
