node name, number of metal atoms
cluster_0, 1
cluster_1, 2
cluster_2, 2
cluster_3, 1
cluster_4, 1
cluster_5, 1
cluster_6, 1
cluster_7, 1
cluster_8, 1
cluster_9, 1
cluster_10, 1
cluster_11, 1
cluster_12, 1
cluster_13, 1
cluster_14, 1
cluster_15, 1
cluster_16, 1
cluster_17, 1
cluster_18, 2
cluster_19, 1
cluster_20, 3
cluster_21, 1
cluster_22, 1
cluster_23, 1
cluster_24, 1
cluster_25, 6
cluster_26, 1
cluster_27, 3
cluster_28, 2
cluster_29, 1
cluster_30, 1
cluster_31, 1
cluster_32, 6
cluster_33, 4
cluster_34, 2
cluster_35, 2
cluster_36, 2
cluster_37, 4
cluster_38, 2
cluster_39, 2
cluster_40, 3
cluster_41, 3
cluster_42, 2
cluster_43, 1
cluster_44, 1
cluster_45, 2
cluster_46, 2
cluster_47, 2
cluster_48, 1
cluster_49, 3
cluster_50, 2
cluster_51, 4
cluster_52, 3
cluster_53, 2
cluster_54, 1
cluster_55, 1
cluster_56, 2
cluster_57, 13
cluster_58, 5
cluster_59, 5
cluster_60, 1
cluster_61, 1
cluster_62, 1
cluster_63, 1
cluster_64, 6
cluster_65, 2
cluster_66, 1
cluster_67, 1
cluster_68, 2
cluster_69, 1
cluster_70, 1
cluster_71, 5
cluster_72, 7
cluster_73, 1
cluster_74, 1
cluster_75, 4
cluster_76, 6
cluster_77, 2
cluster_78, 3
cluster_79, 6
cluster_80, 1
cluster_81, 1
cluster_82, 18
cluster_83, 3
cluster_84, 3
cluster_85, 2
cluster_86, 4
cluster_87, 2
cluster_88, 4
cluster_89, 4
cluster_90, 6
cluster_91, 2
cluster_92, 1
cluster_93, 4
cluster_94, 1
cluster_95, 3
cluster_96, 1
cluster_97, 2
cluster_98, 1
cluster_99, 12
cluster_100, 12
cluster_101, 12
cluster_102, 4
cluster_103, 2
cluster_104, 1
cluster_105, 2
cluster_106, 2
cluster_107, 4
cluster_108, 4
cluster_109, 14
cluster_110, 4
cluster_111, 14
cluster_112, 4
cluster_113, 8
cluster_114, 2
cluster_115, 3
cluster_116, 3
cluster_117, 1
cluster_118, 1
cluster_119, 1
cluster_120, 3
cluster_121, 5
cluster_122, 6
cluster_123, 1
cluster_124, 2
cluster_125, 5
cluster_126, 8
cluster_127, 8
cluster_128, 9
cluster_129, 1
cluster_130, 1
cluster_131, 3
cluster_132, 4
cluster_133, 2
cluster_134, 2
cluster_135, 4
cluster_136, 1
cluster_137, 2
cluster_138, 2
cluster_139, 1
cluster_140, 1
cluster_141, 3
cluster_142, 2
cluster_143, 3
cluster_144, 7
cluster_145, 3
cluster_146, 2
cluster_147, 2
cluster_148, 1
cluster_149, 2
cluster_150, 2
cluster_151, 1
cluster_152, 2
cluster_153, 4
cluster_154, 2
cluster_155, 6
cluster_156, 6
cluster_157, 2
cluster_158, 8
cluster_159, 3
cluster_160, 4
cluster_161, 2
cluster_162, 1
cluster_163, 3
cluster_164, 3
cluster_165, 3
cluster_166, 6
cluster_167, 2
cluster_168, 2
cluster_169, 1
cluster_170, 6
cluster_171, 2
cluster_172, 2
cluster_173, 2
cluster_174, 5
cluster_175, 11
cluster_176, 2
cluster_177, 3
cluster_178, 11
cluster_179, 3
cluster_180, 1
cluster_181, 2
cluster_182, 2
cluster_183, 3
cluster_184, 1
cluster_185, 5
cluster_186, 4
cluster_187, 1
cluster_188, 2
cluster_189, 2
cluster_190, 1
cluster_191, 1
cluster_192, 1
cluster_193, 2
cluster_194, 1
cluster_195, 2
cluster_196, 1
cluster_197, 3
cluster_198, 1
cluster_199, 1
cluster_200, 1
cluster_201, 1
cluster_202, 1
cluster_203, 1
cluster_204, 4
cluster_205, 3
cluster_206, 2
cluster_207, 2
cluster_208, 2
cluster_209, 2
cluster_210, 2
cluster_211, 2
cluster_212, 2
cluster_213, 2
cluster_214, 2
cluster_215, 2
cluster_216, 2
cluster_217, 2
cluster_218, 2
cluster_219, 2
cluster_220, 2
cluster_221, 2
cluster_222, 2
cluster_223, 2
cluster_224, 2
cluster_225, 2
cluster_226, 2
cluster_227, 2
cluster_228, 2
cluster_229, 2
cluster_230, 2
cluster_231, 2
cluster_232, 2
cluster_233, 2
cluster_234, 2
cluster_235, 2
cluster_236, 2
cluster_237, 2
cluster_238, 2
cluster_239, 2
cluster_240, 2
cluster_241, 2
cluster_242, 4
cluster_243, 4
cluster_244, 4
cluster_245, 1
cluster_246, 4
cluster_247, 2
cluster_248, 1
cluster_249, 4
cluster_250, 4
cluster_251, 4
cluster_252, 2
cluster_253, 1
cluster_254, 2
cluster_255, 2
cluster_256, 2
cluster_257, 2
cluster_258, 1
cluster_259, 17
cluster_260, 2
cluster_261, 1
cluster_262, 2
cluster_263, 1
cluster_264, 3
cluster_265, 2
cluster_266, 2
cluster_267, 4
cluster_268, 4
cluster_269, 4
cluster_270, 7
cluster_271, 13
cluster_272, 2
cluster_273, 6
cluster_274, 6
