sbu name, number of mofs built from it
connector_0, 171
connector_1, 362
connector_2, 9
connector_3, 398
connector_4, 6
connector_5, 19
connector_6, 478
connector_7, 97
connector_8, 98
connector_9, 218
connector_10, 355
connector_11, 53
connector_12, 126
connector_13, 464
connector_14, 1
connector_15, 2
connector_16, 26
connector_17, 72
connector_18, 62
connector_19, 1
connector_20, 1
connector_21, 242
connector_22, 14
connector_23, 2
connector_24, 14
connector_25, 14
connector_26, 26
connector_27, 13
connector_28, 25
connector_29, 8
connector_30, 4
connector_31, 4
connector_32, 36
connector_33, 1
connector_34, 66
connector_35, 234
connector_36, 2
connector_37, 11
connector_38, 3
connector_39, 2
connector_40, 23
connector_41, 1
connector_42, 3
connector_43, 406
connector_44, 1
connector_45, 1
connector_46, 27
connector_47, 12
connector_48, 41
connector_49, 1
connector_50, 1
connector_51, 1
connector_52, 1
connector_53, 1
connector_54, 1
connector_55, 1
connector_56, 1
connector_57, 1
connector_58, 1
connector_59, 1
connector_60, 1
connector_61, 1
connector_62, 1
connector_63, 1
connector_64, 1
connector_65, 1
connector_66, 121
connector_67, 15
connector_68, 2
connector_69, 1
connector_70, 1
connector_71, 1
connector_72, 31
connector_73, 1
connector_74, 1
connector_75, 2
connector_76, 3
connector_77, 1
connector_78, 1
connector_79, 1
connector_80, 4
connector_81, 1
connector_82, 53
connector_83, 17
connector_84, 1
connector_85, 7
connector_86, 1
connector_87, 1
connector_88, 2
connector_89, 22
connector_90, 1
connector_91, 15
connector_92, 1
connector_93, 5
connector_94, 1
connector_95, 28
connector_96, 65
connector_97, 3
connector_98, 6
connector_99, 1
connector_100, 37
connector_101, 1
connector_102, 1
connector_103, 2
connector_104, 10
connector_105, 45
connector_106, 6
connector_107, 1
connector_108, 3
connector_109, 2
connector_110, 161
connector_111, 1
connector_112, 1
connector_113, 1
connector_114, 22
connector_115, 2
connector_116, 4
connector_117, 7
connector_118, 8
connector_119, 14
connector_120, 1
connector_121, 1
connector_122, 14
connector_123, 152
connector_124, 5
connector_125, 11
