mof label, metal(s)
ABUWOJ_clean, Zn-O(H)-Zn
acs.inorgchem.5b02108_ic5b02108_si_002_clean, Ga-O(H)-Ga
acs.inorgchem.6b02413_ic6b02413_si_002_clean, Tb-O(H)-Tb
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean, Ce-O(H)-Zr, Zr-O(H)-Zr
AFOYAW_clean, Cu-O(H)-Cu
AGESIP_clean, Cu-O(H)-Cu
AGUVOO_charged, Cu-O(H)-Cu
AHOBEG_clean, Co-O(H)-Co
ALIXOJ_clean, Ni-O(H)-Ni
ALIXUP_clean, Cu-O(H)-Cu
ALOLIY_clean, Mn-O(H)-Mn
ALUJEX_clean, La-O(H)-La
ALUJIB_clean, Ce-O(H)-Ce
ANAWIX_clean, In-O(H)-In
ANAWOD_clean, In-O(H)-In
AQALIO_clean, Eu-O(H)-Sr
AQALOU_clean, Sr-O(H)-Gd
ASAHEJ_clean, U-O(H)-U
ASAJOU_clean, Ni-O(H)-Ni
ASIRUR_clean, Mn-O(H)-Mn
AWEBIO_charged, U-O(H)-U
AXUBOL_clean, Ni-O(H)-Ni
AYUWUM_clean, Na-O(H)-Na
BAKGAX_clean, Co-O(H)-Co
BAMKIM_clean, Cu-O(H)-Cu
BAMKOS_clean, Cu-O(H)-Cu
BAXSIE_clean, Mg-O(H)-Mg
BENXUP_clean, Zn-O(H)-Zn
BENZOL_clean, Sr-O(H)-Sr
BENZUR_clean, Ba-O(H)-Ba
BEPBAB_clean, Ca-O(H)-Ca
BEPREV01_clean, Ni-O(H)-Ni
BEPREV02_clean, Ni-O(H)-Ni
BEPREV03_clean, Ni-O(H)-Ni
BEPREV_clean, Ni-O(H)-Ni
BEPWEA_clean, Li-O(H)-Li
BIBXIV_clean, Ni-O(H)-Ni
BIBXOB_clean, Ni-O(H)-Ni
BIFKEI_clean, Cu-O(H)-Cu
BIQVII_clean, Ce-O(H)-Ce
BIRSEC_clean, Co-O(H)-Co
BIRSIG_clean, Ni-O(H)-Ni
BOHJOZ_auto, Zr-O(H)-Zr
BUCROH_charged, Ni-O(H)-Ni
BUCSEY_clean, Ni-O(H)-Ni
BUCSIC_charged, Co-O(H)-Co
BUCYAA_clean, Zn-O(H)-Zn
BUSQIQ_clean, Al-O(H)-Al
c5ce00677e_c5ce00677e2_clean, Cu-O(H)-Cu
c5cp03920g_c5cp03920g2_clean, Zr-O(H)-Zr
c5dt03091a_c5dt03091a2_clean, Er-O(H)-Er
CABQEB_clean, Co-O(H)-Co
CADPIH_clean, Ga-O(H)-Ga
CADPII_clean, Zn-O(H)-Zn
CAVMIW_clean, Fe-O(H)-Fe
CAVRAU_clean, Zn-O(H)-Zn
CAVREY_clean, Zn-O(H)-Zn
CAWVIH_SL, Zn-O(H)-Zn
CAXXEG_clean, Ni-O(H)-Ni
CAYKEU_clean, Pr-O(H)-Pr
CENJIQ_clean, Cu-O(H)-Cu
CENKAJ_clean, Cu-O(H)-Cu
CETGOY_clean, Ni-O(H)-Ni
CETHEQ_clean, Cu-O(H)-Cu
cg801164f_si_001_clean, Co-O(H)-Co
CIFMIP_clean, Co-O(H)-Co
CIQYUX_clean, Co-O(H)-Co
CISMEY01_clean, Cd-O(H)-Cd
CITZIP_manual, Co-O(H)-Co
CIZLEE_clean, Cd-O(H)-Cd
cm503311x_OH-mil-53-Al-lp-ortho_clean, Al-O(H)-Al
cm504350q_si_002_clean, Tb-O(H)-Tb
COGNAO_clean, Zn-O(H)-Zn
COMDOY_clean, Ga-O(H)-Ga
COVYIX_clean, Cu-O(H)-Cu
CUFJUK_clean, Co-O(H)-Co
CUWNIT_clean, Co-O(H)-Co
CUWNOZ_clean, Co-O(H)-Co
CUXDUU_clean, Ga-O(H)-Ga
CUZBUW_clean, Co-O(H)-Co
DALSAN_clean, Fe-O(H)-Fe
DEQFOU_clean, Cu-O(H)-Cu
DEXDER_clean, Cd-O(H)-K
DEYXIQ_clean, Co-O(H)-Co
DIBJIJ_clean, Eu-O(H)-Eu
DIRBIP_clean, Ga-O(H)-Ga
DIXKOL_clean, Co-O(H)-Co
DIZQOT_clean, Zn-O(H)-Co, Co-O(H)-Co
DOMKEX_clean, Na-O(H)-Na
DONNEA_clean, Ga-O(H)-Ga
DOTTEM_clean, Ga-O(H)-Ga
DOYBEA_clean, Al-O(H)-Al
EBANAY_clean, Sr-O(H)-Sr
EBIMEJ_clean, Co-O(H)-Co
ECEDAU_clean, Sr-O(H)-Sr
ECIWOC_clean, Zn-O(H)-Zn
ECIYEU_clean, Al-O(H)-Al
ECORIX_clean, Ni-O(H)-Ni
ECOROD_clean, Co-O(H)-Co
ECOSIY_clean, Co-O(H)-Co
EFEGOM_clean, Fe-O(H)-Fe
EFIMOV_clean, Na-O(H)-Na
EGELUY01_manual, Al-O(H)-Al
EGELUY_SL, Al-O(H)-Al
EHALOP_manual, Al-O(H)-Al
EHODOV_SL, In-O(H)-In
EKIJAL_clean, Ni-O(H)-Ni
EKIJEP01_clean, Co-O(H)-Co
EKIJEP_clean, Co-O(H)-Co
ELAZEX_clean, Cd-O(H)-Cd
ELOXIN_clean, Sr-O(H)-Sr
EMIYUW_clean, Zr-O(H)-Zr
EMIZAD_clean, Zr-O(H)-Zr
ENAFOP_ion_b, Na-O(H)-Na
EPECEJ_clean, Zn-O(H)-Zn
EQERAU_clean, Mg-O(H)-Mg
EQUBIC_clean, Tb-O(H)-Tb
EQUBOI_clean, Eu-O(H)-Eu
EQUBUO_clean, Gd-O(H)-Gd
ERUNIQ_clean, Co-O(H)-Co
ERUNOW_clean, Co-O(H)-Co
ESEVIH_clean, Zn-O(H)-Zn
ESIDOB_clean, In-O(H)-In
ESURER01_clean, Co-O(H)-Co
ESURER02_clean, Co-O(H)-Co
ESURER03_clean, Co-O(H)-Co
ESURER04_clean, Co-O(H)-Co
ESURER_clean, Co-O(H)-Co
ESUSAO01_clean, Co-O(H)-Co
ESUSAO_clean, Co-O(H)-Co
ESUSIW_clean, Co-O(H)-Co
ESUSOC01_clean, Co-O(H)-Co
ESUSOC02_clean, Co-O(H)-Co
ESUSOC_clean, Co-O(H)-Co
ESUTAP_clean, Co-O(H)-Co
ESUTIX_clean, Co-O(H)-Co
ESUVAR01_clean, Co-O(H)-Co
ESUVAR02_clean, Co-O(H)-Co
ESUVAR_clean, Co-O(H)-Co
ESUVOF_clean, Co-O(H)-Co
ETEMIB_clean, Co-O(H)-Co
EXEQAA_clean, Sc-O(H)-Sc
EXEQII_SL, Sc-O(H)-Sc
EXIBUI_clean, Ba-O(H)-Ba
FAFDEX_clean, K-O(H)-Mn
FAFQEJ01_clean, Er-O(H)-Er
FAGREM_clean, Zn-O(H)-Zn
FAHQIR_clean, Co-O(H)-Co
FAPXEC_clean, V-O(H)-V
FAQLUH_clean, V-O(H)-V
FEQSIF_clean, Co-O(H)-Co
FEWQIJ_manual, Dy-O(H)-Dy
FIHLOZ_clean, Co-O(H)-Co
FIJCUX01_clean, Zn-O(H)-Zn
FIJGEK_clean, Al-O(H)-Al
FIMXUW_clean, La-O(H)-La
