mof label, metal(s)
ABESUX_clean, U-O-U
ABETAE_clean, U-O-U
ABIXOZ_clean, Mo-O-Mo, Mo-O-Co, Co-O-Co
ABUWOJ_clean, Zn-O-Zn
ACIBIY_clean, Co-O-Co
ACIBOE_clean, Zn-O-Zn
ACOLOV_clean, Cd-O-Cd
acs.cgd.6b00463_OLOMUZ1451936_clean, Ca-O-Ca
acs.chemmater.6b02817_cm6b02817_si_004_clean, Fe-O-Fe
acs.chemrev.6b00346_cr6b00346_si_001_clean, Zn-O-Zn
acs.inorgchem.5b02108_ic5b02108_si_002_clean, Ga-O-Ga
acs.inorgchem.6b02407_ic6b02407_si_003_clean, Li-O-Zn
acs.inorgchem.6b02413_ic6b02413_si_002_clean, Tb-O-Tb
acs.jpcc.6b08594_UiO66_Ce2Zr4_opt_clean, Ce-O-Zr, Zr-O-Zr
acs.jpcc.6b08594_Zn2Cd6MOF5_opt_clean, Cd-O-Cd, Cd-O-Zn
acscombsci.5b00188_5020072_clean, Zn-O-Zn
acscombsci.5b00188_5024922_clean, Zn-O-Zn
acscombsci.5b00188_8372_clean, Zn-O-Zn
ACUBAB_clean, Zn-O-Zn
ACUTOI_clean, Na-O-Na, Na-O-Cd
ADARAA_clean, Co-O-Co
ADASAB_charged, Cu-O-Cu
ADASEF_clean, Cu-O-Cu
ADATIK_clean, Cu-O-Cu
ADAXEK_clean, Co-O-Co
ADAXIO_clean, Co-O-Co
ADEGIA01_clean, Gd-O-Gd
ADEGIA_clean, Gd-O-Gd
ADOBAX_charged, Mn-O-V, V-O-V
ADOBEB_charged, Mn-O-V, V-O-V
ADOBOL_charged, V-O-V, V-O-Co
ADOBUR_charged, V-O-V, V-O-Ni
ADOCEC_clean, V-O-V, V-O-Ni
ADODAA_charged, Cu-O-Cu
ADODII_clean, La-O-La
ADODOO_clean, Eu-O-Eu
ADODUU_clean, Tb-O-Tb
AFIPAH_clean, La-O-La
AFOTOF_clean, Eu-O-Eu
AFOTUL_clean, Sm-O-Sm
AFOVAT_clean, La-O-La
AFOVEX_clean, Ce-O-Ce
AFOVIB_clean, Gd-O-Gd
AFOVOH_clean, Nd-O-Nd
AFOYAW_clean, Cu-O-Cu
AFOYEB_clean, Co-O-Co
AFUKET_clean, Mn-O-Mn
AFUKIX_clean, Mn-O-Mn
AGARUW_clean, La-O-La
AGESIP_clean, Cu-O-Cu
AGIREP_clean, Zn-O-Zn
AGOVOJ_clean, In-O-In
AGUVOO_charged, Cu-O-Cu
AHAMAY_clean, Zn-O-Zn
AHOBEG_clean, Co-O-Co
AHOKIR01_clean, Cu-O-Cu
AHOKIR_clean, Cu-O-Cu
AHOKOX_clean, Cu-O-Cu
AJAKON_clean, Cd-O-Cd
AJOVEB_clean, Cd-O-Cd
AJOXAA_clean, Nd-O-Nd
AKOHEO_clean, Mo-O-Mo, Mo-O-Fe
AKUHOD01_clean, Gd-O-Gd
AKUHOD_clean, Gd-O-Gd
ALAHUS_clean, Tb-O-Tb
ALALUU01_clean, Pr-O-Pr
ALALUU_clean, Pr-O-Pr
ALATAK_clean, Ca-O-Ca
ALEJAE_clean, In-O-In
ALEQIT_clean, Tb-O-Tb
ALIBUT_clean, Mo-O-Zn
ALICAA_clean, W-O-Zn
ALIXOJ_clean, Ni-O-Ni
ALIXUP_clean, Cu-O-Cu
ALOLES_ion_b, Bi-O-Bi, Bi-O-K
ALOLIX_charged, Cs-O-In
ALOLIY_clean, Mn-O-Mn
ALUJEX_clean, La-O-La
ALUJIB_clean, Ce-O-Ce
ALUJOH_clean, Nd-O-Nd
ALUKAU_clean, Dy-O-Dy
ALUKIC_clean, Ce-O-Ce
ALUKOI_clean, Sm-O-Sm
ALUKUO_clean, Eu-O-Eu
ALULEZ_clean, Ce-O-Ce
ALULID_clean, Ce-O-Ce
ALURAB_clean, Co-O-Co
ALUREF_clean, Co-O-Co
AMALND_clean, Nd-O-Nd
AMEJOS_charged, Cu-O-Cu
AMIWID_clean, Eu-O-Eu
AMIWOJ_clean, Gd-O-Gd
AMIWUP_clean, Tb-O-Tb
AMIXAW_clean, Dy-O-Dy
AMIXEA_clean, Ho-O-Ho
AMODUC_clean, Tb-O-Tb
AMOFAK_clean, Eu-O-Eu
AMOZAE_clean, K-O-Sm
AMUFAR_clean, Co-O-Co
AMUFEV_clean, Co-O-Co
AMUFIZ_clean, Co-O-Co
AMUFOF_clean, Co-O-Co
ANAWIX_clean, In-O-In
ANAWOD_clean, In-O-In
ANENEN_clean, La-O-La
ANENIR_clean, La-O-La
ANEPIT_clean, Co-O-Co
ANIDIL_clean, Co-O-Co
APAYIB_clean, Eu-O-Eu
APAYOH_clean, Tb-O-Tb
APAYUN_clean, La-O-La
APAZAU_clean, Eu-O-Eu
APAZEY_clean, Tb-O-Tb
APAZIC_clean, La-O-La
APAZOI_clean, La-O-La
AQALIO_clean, Eu-O-Sr
AQALOU_clean, Sr-O-Gd
AQMAND01_clean, Nd-O-Nd
AQMAND_clean, Nd-O-Nd
AQOMAW_clean, Co-O-Co
AQUCOG_clean, Ni-O-Ni
AQUCUM_clean, Ni-O-Ni
AQUDIB_clean, Ni-O-Ni
ARAHIM01_clean, Nb-O-Ni
ARAHIM02_clean, Nb-O-Ni
ARAHIM_clean, Nb-O-Ni
AROFAP_clean, Cd-O-Cd
AROFET_clean, Cd-O-Cd
ARUYES_clean, Na-O-Bi
ASACON_clean, Zn-O-Zn
ASAHEJ_clean, U-O-U
ASAJOU_clean, Ni-O-Ni
ASAMUE_clean, Th-O-Th
ASECUY_clean, U-O-Na
ASIRUR_clean, Mn-O-Mn
ASOHUL_clean, V-O-V
ASUBIB_clean, Eu-O-Eu
ATIBAG_clean, Mn-O-Mn
ATIBIO_clean, Mn-O-Mn
ATIBOU01_clean, Mn-O-Mn
ATIBOU02_clean, Mn-O-Mn
ATIBOU_clean, Mn-O-Mn
ATIBUA_clean, Mn-O-Mn
ATICAH_clean, Mn-O-Mn
ATICEL_clean, Mn-O-Mn
ATIJUJ_manual, Co-O-Co
ATULIM_clean, Zn-O-Zn
ATUXIY_clean, Eu-O-Eu
ATUXOE_clean, Eu-O-K, K-O-K
ATUXUK_clean, Tb-O-K, K-O-K
ATUYAR_clean, Gd-O-K, K-O-K
AVEVEE_clean, Cd-O-Cd
AVILEY_clean, Hf-O-Hf
AVIPAX_clean, Mg-O-Mg
AVUCEA_clean, Co-O-Co
AVUJIL_clean, Pr-O-Pr
AWAHAI_clean, U-O-U, U-O-Mn, Mn-O-Mn
AWAHEM_clean, U-O-U, U-O-Mn, Mn-O-Mn
AWASAU_clean, Pr-O-Pr
AWASEY_clean, Pr-O-K
AWASOI_clean, Pr-O-Pr
AWAWUR_clean, Co-O-Co
AWEBIO_charged, U-O-U
AWEGEP_clean, Cs-O-Cs, Cs-O-U
AWOFOI_clean, Ce-O-Ce
AXAFAG_clean, U-O-U
AXAWUT_clean, Ce-O-Ce
AXIMUP_clean, La-O-La
AXINAX01_clean, Co-O-Co
AXINIF_clean, Co-O-Co
AXOCAT_clean, Cs-O-Cs
AXUBAW_manual, Zn-O-Zn
AXUBOL_clean, Ni-O-Ni
AXUHIL_clean, Cd-O-Cd
AYOYOE_clean, Ni-O-Ni
AYUJIP_clean, Mn-O-Mn
AYUWUM_clean, Na-O-Na
AZAFIS_clean, Ca-O-Ca
AZAVOO_clean, Mg-O-Mg
AZAWAZ_clean, U-O-Na
AZEWEH_clean, Nd-O-Nd
AZILEA_clean, Pr-O-Pr
BADYAJ_clean, Tb-O-Tb
BAEDTA01_clean, Ba-O-Ba
BAKGAX_clean, Co-O-Co
BAKJEE_clean, Co-O-Co
BAKYOE_clean, Mg-O-Mg
BALMUW01_clean, Ba-O-Ba
BALMUW_clean, Ba-O-Ba
BALPAH_clean, La-O-La
BALPIP_clean, La-O-La
BAMKIM_clean, Cu-O-Cu
BAMKOS_clean, Cu-O-Cu
BAPDAA_clean, Cd-O-Cd
BASSOF_clean, Dy-O-Dy
BASSUL_clean, Er-O-Er
BASTAS_clean, Gd-O-Gd
BASTEW_clean, Sm-O-Sm
BASTIA_clean, Tb-O-Tb
BASTUM_clean, Ho-O-Ho
BAWROI_clean, Zn-O-Zn
BAXREY_clean, Cu-O-Cu
BAXSIE_clean, Mg-O-Mg
BAZJET_clean, Mn-O-Mn
BAZJIX_clean, Mn-O-Mn
BEDYEQ_clean, Zr-O-Zr
BEFNEH_clean, Co-O-Ga
BEKSAM_clean, Ga-O-Ga
BEKYOG_clean, Cr-O-Ag
BEKYUM_clean, Ag-O-Cr, Ag-O-K
BEKZEX01_clean, Ag-O-Cr, Ag-O-Cs
BEKZEX_clean, Ag-O-Ag, Ag-O-Cr, Ag-O-Cs
BELTOD_clean, Mn-O-Mn
BELTUJ_clean, Co-O-Co
BELVEV_charged, Mn-O-Mn
BENXUP_clean, Zn-O-Zn
BENZOL_clean, Sr-O-Sr
BENZUR_clean, Ba-O-Ba
BEPBAB_clean, Ca-O-Ca
BEPREV01_clean, Ni-O-Ni
BEPREV02_clean, Ni-O-Ni
BEPREV03_clean, Ni-O-Ni
BEPREV_clean, Ni-O-Ni
BEPRIZ_clean, Co-O-Co
BEPROF_clean, Ni-O-Ni
BEPWEA_clean, Cu-O-Li, Li-O-Li
BETDAH_clean, Ho-O-Ho
BETDEL_clean, Dy-O-Dy
BETDIP_clean, Tb-O-Tb
BETDUB_clean, Eu-O-Eu
BETFAJ_clean, Sm-O-Sm
BETFEN_clean, Pr-O-Pr
BETFUD_clean, Ce-O-Ce
BETGAK_clean, La-O-La
BETGEO_clean, Ni-O-Ni
BETZOR_clean, Mn-O-Mn
BEVQUP_clean, Rb-O-Y
BEVRAW_clean, Ca-O-Ca
BEVWAB_clean, Cu-O-Cu, Zn-O-Zn
BIBXIV_clean, Ni-O-Ni
BIBXOB_clean, Ni-O-Ni
BICPUA_clean, Yb-O-Yb
BIFGOO_clean, Cu-O-K
BIFKEI_clean, Cu-O-Cu
BIGZUO_clean, Cr-O-Cr
BIHBAX_clean, Cr-O-Cr
BIJDUV_clean, Ti-O-Ti, Cd-O-Cd
BIPLIX_clean, Zn-O-Zn
BIQVII_clean, Ce-O-Ce
BIRMUM_clean, Mn-O-Mn
BIRSEC_clean, Co-O-Co
BIRSIG_clean, Ni-O-Ni
BIWHAQ_clean, Sn-O-Sn
BIXXIR_clean, W-O-W, W-O-La
BIXYEO_clean, Ce-O-W, W-O-W
BIYSUZ_clean, La-O-La
BIYTAG_clean, Ce-O-Ce
BIYTOU_clean, Mn-O-Mn
BIYVEM_clean, Sm-O-Sm
BIYVIQ_clean, Tb-O-Tb
BIYYEP_charged, Mo-O-Mo
BOHJOZ_auto, Zr-O-Zr
BOJYIK01_clean, Tb-O-Tb
BOJYIK_clean, Tb-O-Tb
BOKQEZ_clean, Mn-O-Mn
BOLZIN_clean, Zr-O-Zr
BOPWIO_clean, Ho-O-Ho
BOQYUD_clean, Fe-O-Fe
BOTLED_clean, Eu-O-Eu
BOWDIC_clean, Co-O-Co
BOXFOK_clean, Dy-O-Dy
BOXYEU_clean, Mn-O-Mn
BOXYIY_clean, Mn-O-Mn
BOZFON_clean, Cd-O-Cd
BUCROH_charged, Ni-O-Ni
BUCSEY_clean, Ni-O-Ni
BUCSIC_charged, Co-O-Co
BUCWAZ_clean, Cd-O-Cd
BUCYAA_clean, Zn-O-Zn
BUGSAY_clean, Dy-O-Dy
BUGSEC_clean, Eu-O-Eu
BUGSIG_clean, Gd-O-Gd
BUGSOM_clean, Tb-O-Tb
BUKRUW01_clean, Zn-O-Zn
BUKRUW02_clean, Zn-O-Zn
BUKRUW03_clean, Zn-O-Zn
BUKYAJ_clean, Li-O-Li
BUNKUS_clean, Zr-O-Zr
BUNLAZ_clean, Zr-O-Zr
BUPVEP_clean, Ce-O-Ce
BURQIQ_clean, Na-O-Na
BUSQIQ_clean, Al-O-Al
BUVHEH_clean, Ce-O-Ce
BUXZAX_clean, Hf-O-Hf
c5cc09432a_c5cc09432a2_clean, Co-O-Co
c5ce00010f_c5ce00010f2_clean, Cd-O-Cd
c5ce00677e_c5ce00677e2_clean, Cu-O-Cu
c5cp03920g_c5cp03920g2_clean, Zr-O-Zr
c5dt00281h_c5dt00281h2_clean, Fe-O-Fe
c5dt03091a_c5dt03091a2_clean, Er-O-Er
c5nj01930c_c5nj01930c2_clean, Nd-O-Nd
c5ta04989j_c5ta04989j2_clean, Eu-O-Eu
c6ce00141f_c6ce00141f2_clean, Co-O-Co
c6ce00407e_c6ce00407e4_clean, Zn-O-Zn
c6dt03852b_c6dt03852b2_clean, Zr-O-Zr
c6ta00429f_c6ta00429f2_clean, Zr-O-Zr
CABQEB_clean, Co-O-Co
CADPIH_clean, Ga-O-Ga
CADPII_clean, Zn-O-Zn
CADQAB_clean, Pr-O-Pr
CADQOP_clean, Ce-O-Ce
CAGSAG_clean, Zn-O-Zn
CAGXIU_clean, Ba-O-Ba
CAHQOS_clean, Al-O-Al
CAJBUN_clean, Mo-O-Mo, Mo-O-Na, Na-O-Na
CAJWIV_ion_b, In-O-Li
CAKFEB01_clean, Gd-O-Gd
CAKFEB_clean, Gd-O-Gd
CAKFIF_clean, Tb-O-Tb
CAMROA_clean, Y-O-Y
CANRIU_clean, Mg-O-Mg
CANROA_clean, Co-O-Co
CANRUG_clean, Ca-O-Ca
CANYIB_clean, Co-O-Co
CAPLOX_clean, Nd-O-Nd
CAQCAZ_clean, In-O-In
CASTEW_clean, In-O-In
CAVMIW_clean, Fe-O-Fe
CAVNOE_clean, Sc-O-Sc
CAVRAU_clean, Zn-O-Zn
CAVREY_clean, Zn-O-Zn
CAWVIH_SL, Zn-O-Zn
CAWZUX_clean, V-O-V, V-O-Ni
CAXPIC_clean, Co-O-Co
CAXTAY_clean, Al-O-Al
CAXTEC_clean, Al-O-Al
CAXVII_clean, Fe-O-Fe
CAXVOO_clean, Fe-O-Fe
CAXVUU_clean, Fe-O-Fe
CAXWAB_clean, Fe-O-Fe
CAXWEF_clean, Fe-O-Fe
CAXWIJ_clean, Fe-O-Fe
CAXXEG_clean, Ni-O-Ni
CAYCAI_clean, Rb-O-Mo, Na-O-Mo, Mo-O-Mo
CAYKEU_clean, Pr-O-Pr
CAYMIZ_clean, Gd-O-Gd
CAYSOL_clean, Fe-O-Fe
CAZGIT_clean, Cu-O-Mo, Mo-O-Mo
CAZNOI_charged, Co-O-Co
CAZNUO_charged, Co-O-Co
CEBDOD_clean, Ba-O-Ba
CECVAI_clean, Cu-O-Cu
CEJBEA_clean, Dy-O-Dy
CEJVET_clean, Ce-O-Ce
CEJZAU_clean, Co-O-Co
CEKHIL_clean, Co-O-Co
CELZIE_SL, Al-O-Al
CENJIQ_clean, Cu-O-Cu
CENKAJ_clean, Cu-O-Cu
CEQBUV_charged, Zn-O-Zn
CETFOX_clean, Nd-O-Nd
CETFUD_clean, Pr-O-Pr
CETGOY_clean, Ni-O-Ni
