sbu name, number of mofs built from it
cluster_0, 803
cluster_1, 9
cluster_2, 32
cluster_3, 210
cluster_4, 122
cluster_5, 1032
cluster_6, 195
cluster_7, 148
cluster_8, 123
cluster_9, 117
cluster_10, 192
cluster_11, 127
cluster_12, 267
cluster_13, 186
cluster_14, 77
cluster_15, 19
cluster_16, 5
cluster_17, 1557
cluster_18, 524
cluster_19, 120
cluster_20, 48
cluster_21, 998
cluster_22, 595
cluster_23, 1
cluster_24, 119
cluster_25, 40
cluster_26, 1
cluster_27, 115
cluster_28, 365
cluster_29, 59
cluster_30, 1
cluster_31, 1
cluster_32, 1
cluster_33, 131
cluster_34, 1
cluster_35, 1
cluster_36, 11
cluster_37, 35
cluster_38, 377
cluster_39, 2
cluster_40, 83
cluster_41, 32
cluster_42, 1
cluster_43, 26
cluster_44, 1
cluster_45, 331
cluster_46, 131
cluster_47, 2
cluster_48, 1
cluster_49, 26
cluster_50, 1
cluster_51, 1
cluster_52, 44
cluster_53, 1
cluster_54, 1
cluster_55, 41
cluster_56, 14
cluster_57, 1
cluster_58, 107
cluster_59, 9
cluster_60, 1
cluster_61, 1
cluster_62, 1
cluster_63, 23
cluster_64, 17
cluster_65, 57
cluster_66, 136
cluster_67, 3
cluster_68, 64
cluster_69, 75
cluster_70, 6
cluster_71, 1
cluster_72, 64
cluster_73, 56
cluster_74, 16
cluster_75, 2
cluster_76, 1
cluster_77, 2
cluster_78, 1
cluster_79, 1
cluster_80, 1
cluster_81, 1
cluster_82, 1
cluster_83, 1
cluster_84, 1
cluster_85, 9
cluster_86, 3
cluster_87, 164
cluster_88, 1
cluster_89, 1
cluster_90, 1
cluster_91, 1
cluster_92, 1
cluster_93, 1
cluster_94, 15
cluster_95, 33
cluster_96, 25
cluster_97, 1
cluster_98, 171
cluster_99, 1
cluster_100, 1
cluster_101, 16
cluster_102, 1
cluster_103, 1
cluster_104, 34
cluster_105, 37
cluster_106, 65
cluster_107, 15
cluster_108, 1
cluster_109, 1
cluster_110, 25
cluster_111, 1
cluster_112, 1
cluster_113, 1
cluster_114, 1
cluster_115, 105
cluster_116, 9
cluster_117, 8
cluster_118, 1
cluster_119, 67
cluster_120, 9
cluster_121, 3
cluster_122, 55
cluster_123, 1
cluster_124, 2
cluster_125, 1
cluster_126, 1
cluster_127, 1
cluster_128, 2
cluster_129, 19
cluster_130, 13
cluster_131, 1
cluster_132, 1
cluster_133, 1
cluster_134, 1
cluster_135, 10
cluster_136, 4
cluster_137, 14
cluster_138, 1
cluster_139, 3
cluster_140, 2
cluster_141, 1
cluster_142, 1
cluster_143, 23
cluster_144, 2
cluster_145, 1
cluster_146, 13
cluster_147, 1
cluster_148, 1
cluster_149, 8
cluster_150, 1
cluster_151, 1
cluster_152, 4
cluster_153, 1
cluster_154, 1
cluster_155, 1
cluster_156, 26
cluster_157, 1
cluster_158, 1
cluster_159, 1
cluster_160, 1
cluster_161, 1
cluster_162, 1
cluster_163, 1
cluster_164, 1
cluster_165, 1
cluster_166, 1
cluster_167, 1
cluster_168, 11
cluster_169, 1
cluster_170, 1
cluster_171, 2
cluster_172, 6
cluster_173, 1
cluster_174, 1
cluster_175, 1
cluster_176, 1
cluster_177, 1
cluster_178, 1
cluster_179, 1
cluster_180, 1
cluster_181, 2
cluster_182, 1
cluster_183, 1
cluster_184, 9
cluster_185, 1
cluster_186, 1
