mof name, num atoms with OMS, all metal atoms with open site(s)
ABAVIJ_clean.cif, no open metal sites detected
ABAYIO_clean.cif, no open metal sites detected
ABAYOU_clean.cif, no open metal sites detected
ABEFUL_clean.cif, no open metal sites detected
ABESUX_clean.cif, 4, U17 U18 U19 U20
ABETAE_clean.cif, 4, U17 U18 U19 U20
ABETIN_clean.cif, no open metal sites detected
ABEXEM_clean.cif, 8, La1 La2 La3 La4 La5 La6 La7 La8
ABEXEN_clean.cif, no open metal sites detected
ABEXIQ_clean.cif, 8, Ce1 Ce2 Ce3 Ce4 Ce5 Ce6 Ce7 Ce8
ABEXOW_clean.cif, 8, Pr1 Pr2 Pr3 Pr4 Pr5 Pr6 Pr7 Pr8
ABEXUC_clean.cif, 8, Nd1 Nd2 Nd3 Nd4 Nd5 Nd6 Nd7 Nd8
ABEYAJ_clean.cif, 8, Sm1 Sm2 Sm3 Sm4 Sm5 Sm6 Sm7 Sm8
ABEYEN_clean.cif, 8, Eu1 Eu2 Eu3 Eu4 Eu5 Eu6 Eu7 Eu8
ABEYIR_clean.cif, 8, Gd1 Gd2 Gd3 Gd4 Gd5 Gd6 Gd7 Gd8
ABIXOZ_clean.cif, 14, Mo1 Mo2 Mo3 Mo4 Mo5 Mo6 Co1 Mo7 Mo8 Mo9 Mo10 Mo11 Mo12 Co2
ABIYIV_clean.cif, no open metal sites detected
ABULOB_clean.cif, no open metal sites detected
ABUWOJ_clean.cif, 8, Zn1 Zn3 Zn5 Zn7 Zn9 Zn11 Zn13 Zn15
ac403674p_si_001_clean.cif, 6, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6
ACAJIY_clean.cif, no open metal sites detected
ACAJIZ_clean.cif, no open metal sites detected
ACAJOF_clean.cif, no open metal sites detected
ACAKUM_clean.cif, 4, La1 La2 La3 La4
ACALIB_clean.cif, 4, Er1 Er2 Er3 Er4
ACIBIY_clean.cif, no open metal sites detected
ACIBOE_clean.cif, 12, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12
ACODON_clean.cif, no open metal sites detected
ACOGAB_clean.cif, no open metal sites detected
ACOGEF_clean.cif, no open metal sites detected
ACOLEL_clean.cif, 6, Mn1 Mn2 Mn3 Mn4 Mn7 Mn8
ACOLIP_clean.cif, 2, Zn1 Zn2
ACOLOV_clean.cif, 8, Cd1 Cd3 Cd4 Cd6 Cd7 Cd9 Cd10 Cd12
acs.cgd.5b01686_WAHFUJ1434675_clean.cif, 4, Cu1 Cu2 Cu3 Cu4
acs.cgd.6b00463_OLOMUZ1451936_clean.cif, 108, Ag1 Ag2 Ca1 Ag3 Ag4 Ca2 Ag5 Ag6 Ca3 Ag7 Ag8 Ca4 Ag9 Ag10 Ca5 Ag11 Ag12 Ca6 Ag13 Ag14 Ca7 Ag15 Ag16 Ca8 Ag17 Ag18 Ca9 Ag19 Ag20 Ca10 Ag21 Ag22 Ca11 Ag23 Ag24 Ca12 Ag25 Ag26 Ca13 Ag27 Ag28 Ca14 Ag29 Ag30 Ca15 Ag31 Ag32 Ca16 Ag33 Ag34 Ca17 Ag35 Ag36 Ca18 Ag37 Ag38 Ca19 Ag39 Ag40 Ca20 Ag41 Ag42 Ca21 Ag43 Ag44 Ca22 Ag45 Ag46 Ca23 Ag47 Ag48 Ca24 Ag49 Ag50 Ca25 Ag51 Ag52 Ca26 Ag53 Ag54 Ca27 Ag55 Ag56 Ca28 Ag57 Ag58 Ca29 Ag59 Ag60 Ca30 Ag61 Ag62 Ca31 Ag63 Ag64 Ca32 Ag65 Ag66 Ca33 Ag67 Ag68 Ca34 Ag69 Ag70 Ca35 Ag71 Ag72 Ca36
acs.chemmater.6b02817_cm6b02817_si_004_clean.cif, 24, Fe1 Fe2 Fe3 Fe4 Fe5 Fe6 Fe7 Fe8 Fe9 Fe10 Fe11 Fe12 Fe13 Fe14 Fe15 Fe16 Fe17 Fe18 Fe19 Fe20 Fe21 Fe22 Fe23 Fe24
acs.chemrev.6b00346_cr6b00346_si_001_clean.cif, 12, Zn1 Zn2 Zn3 Zn4 Zn5 Zn6 Zn7 Zn8 Zn9 Zn10 Zn11 Zn12
acs.inorgchem.5b02108_ic5b02108_si_002_clean.cif, no open metal sites detected
